episode,total_reward,wait_time,epsilon,alpha,gamma
0,-59,38,0.2,0.1,0.9
1,-168,50,0.2,0.1,0.9
2,-309,109,0.2,0.1,0.9
3,-271,107,0.2,0.1,0.9
4,-41,36,0.2,0.1,0.9
5,-267,123,0.2,0.1,0.9
6,-276,109,0.2,0.1,0.9
7,-106,36,0.2,0.1,0.9
8,-189,103,0.2,0.1,0.9
9,-43,30,0.2,0.1,0.9
10,-138,73,0.2,0.1,0.9
11,-46,54,0.2,0.1,0.9
12,-10,12,0.2,0.1,0.9
13,-108,63,0.2,0.1,0.9
14,-125,80,0.2,0.1,0.9
15,-95,62,0.2,0.1,0.9
16,-186,112,0.2,0.1,0.9
17,-73,41,0.2,0.1,0.9
18,-71,44,0.2,0.1,0.9
19,-246,72,0.2,0.1,0.9
20,-112,97,0.2,0.1,0.9
21,-13,16,0.2,0.1,0.9
22,-173,95,0.2,0.1,0.9
23,10,12,0.2,0.1,0.9
24,-19,23,0.2,0.1,0.9
25,-75,49,0.2,0.1,0.9
26,-101,31,0.2,0.1,0.9
27,-122,37,0.2,0.1,0.9
28,11,28,0.2,0.1,0.9
29,-97,57,0.2,0.1,0.9
30,-75,56,0.2,0.1,0.9
31,-88,70,0.2,0.1,0.9
32,25,21,0.2,0.1,0.9
33,-20,8,0.2,0.1,0.9
34,31,11,0.2,0.1,0.9
35,-49,43,0.2,0.1,0.9
36,-62,24,0.2,0.1,0.9
37,-290,153,0.2,0.1,0.9
38,-38,14,0.2,0.1,0.9
39,-159,79,0.2,0.1,0.9
40,24,7,0.2,0.1,0.9
41,-324,123,0.2,0.1,0.9
42,-175,94,0.2,0.1,0.9
43,-361,122,0.2,0.1,0.9
44,-44,47,0.2,0.1,0.9
45,-43,15,0.2,0.1,0.9
46,-100,27,0.2,0.1,0.9
47,30,4,0.2,0.1,0.9
48,12,8,0.2,0.1,0.9
49,-107,74,0.2,0.1,0.9
50,-176,53,0.2,0.1,0.9
51,20,4,0.2,0.1,0.9
52,-60,41,0.2,0.1,0.9
53,-136,71,0.2,0.1,0.9
54,-406,205,0.2,0.1,0.9
55,-127,60,0.2,0.1,0.9
56,7,7,0.2,0.1,0.9
57,-54,48,0.2,0.1,0.9
58,39,11,0.2,0.1,0.9
59,-142,71,0.2,0.1,0.9
60,8,31,0.2,0.1,0.9
61,13,9,0.2,0.1,0.9
62,-22,29,0.2,0.1,0.9
63,-105,55,0.2,0.1,0.9
64,-11,25,0.2,0.1,0.9
65,-226,78,0.2,0.1,0.9
66,41,28,0.2,0.1,0.9
67,-21,14,0.2,0.1,0.9
68,-52,29,0.2,0.1,0.9
69,-33,29,0.2,0.1,0.9
70,-7,11,0.2,0.1,0.9
71,-142,90,0.2,0.1,0.9
72,31,3,0.2,0.1,0.9
73,-10,10,0.2,0.1,0.9
74,-32,18,0.2,0.1,0.9
75,16,26,0.2,0.1,0.9
76,16,6,0.2,0.1,0.9
77,-318,154,0.2,0.1,0.9
78,-22,11,0.2,0.1,0.9
79,-62,39,0.2,0.1,0.9
80,5,7,0.2,0.1,0.9
81,16,9,0.2,0.1,0.9
82,30,19,0.2,0.1,0.9
83,-252,99,0.2,0.1,0.9
84,-184,92,0.2,0.1,0.9
85,10,17,0.2,0.1,0.9
86,-146,66,0.2,0.1,0.9
87,-116,79,0.2,0.1,0.9
88,-2,28,0.2,0.1,0.9
89,-21,20,0.2,0.1,0.9
90,31,3,0.2,0.1,0.9
91,0,18,0.2,0.1,0.9
92,8,11,0.2,0.1,0.9
93,26,6,0.2,0.1,0.9
94,-202,84,0.2,0.1,0.9
95,-66,65,0.2,0.1,0.9
96,-113,66,0.2,0.1,0.9
97,-116,74,0.2,0.1,0.9
98,-13,21,0.2,0.1,0.9
99,-185,103,0.2,0.1,0.9
100,2,27,0.2,0.1,0.9
101,-33,40,0.2,0.1,0.9
102,55,13,0.2,0.1,0.9
103,30,4,0.2,0.1,0.9
104,40,9,0.2,0.1,0.9
105,-27,29,0.2,0.1,0.9
106,-4,8,0.2,0.1,0.9
107,-229,122,0.2,0.1,0.9
108,-17,27,0.2,0.1,0.9
109,-47,20,0.2,0.1,0.9
110,6,13,0.2,0.1,0.9
111,-56,40,0.2,0.1,0.9
112,32,16,0.2,0.1,0.9
113,19,7,0.2,0.1,0.9
114,14,36,0.2,0.1,0.9
115,12,6,0.2,0.1,0.9
116,22,8,0.2,0.1,0.9
117,28,15,0.2,0.1,0.9
118,13,8,0.2,0.1,0.9
119,-8,12,0.2,0.1,0.9
120,-50,37,0.2,0.1,0.9
121,36,9,0.2,0.1,0.9
122,-26,21,0.2,0.1,0.9
123,-33,40,0.2,0.1,0.9
124,27,6,0.2,0.1,0.9
125,15,2,0.2,0.1,0.9
126,-7,11,0.2,0.1,0.9
127,18,23,0.2,0.1,0.9
128,-6,16,0.2,0.1,0.9
129,-12,25,0.2,0.1,0.9
130,-40,52,0.2,0.1,0.9
131,17,25,0.2,0.1,0.9
132,-252,142,0.2,0.1,0.9
133,-100,67,0.2,0.1,0.9
134,-400,203,0.2,0.1,0.9
135,-88,53,0.2,0.1,0.9
136,14,16,0.2,0.1,0.9
137,10,11,0.2,0.1,0.9
138,39,11,0.2,0.1,0.9
139,-158,116,0.2,0.1,0.9
140,15,7,0.2,0.1,0.9
141,14,14,0.2,0.1,0.9
142,33,2,0.2,0.1,0.9
143,-19,25,0.2,0.1,0.9
144,-89,42,0.2,0.1,0.9
145,-44,45,0.2,0.1,0.9
146,-68,35,0.2,0.1,0.9
147,39,11,0.2,0.1,0.9
148,15,6,0.2,0.1,0.9
149,-12,20,0.2,0.1,0.9
150,-102,40,0.2,0.1,0.9
151,11,9,0.2,0.1,0.9
152,3,7,0.2,0.1,0.9
153,-74,42,0.2,0.1,0.9
154,4,9,0.2,0.1,0.9
155,-244,127,0.2,0.1,0.9
156,-186,111,0.2,0.1,0.9
157,-94,60,0.2,0.1,0.9
158,-3,24,0.2,0.1,0.9
159,-82,76,0.2,0.1,0.9
160,-2,12,0.2,0.1,0.9
161,15,12,0.2,0.1,0.9
162,31,9,0.2,0.1,0.9
163,27,19,0.2,0.1,0.9
164,-84,43,0.2,0.1,0.9
165,-14,43,0.2,0.1,0.9
166,39,12,0.2,0.1,0.9
167,25,7,0.2,0.1,0.9
168,25,7,0.2,0.1,0.9
169,-60,44,0.2,0.1,0.9
170,-56,26,0.2,0.1,0.9
171,26,6,0.2,0.1,0.9
172,6,19,0.2,0.1,0.9
173,-1,17,0.2,0.1,0.9
174,3,10,0.2,0.1,0.9
175,-25,33,0.2,0.1,0.9
176,27,39,0.2,0.1,0.9
177,12,4,0.2,0.1,0.9
178,-46,36,0.2,0.1,0.9
179,-25,24,0.2,0.1,0.9
180,27,24,0.2,0.1,0.9
181,36,14,0.2,0.1,0.9
182,-11,39,0.2,0.1,0.9
183,27,12,0.2,0.1,0.9
184,-228,136,0.2,0.1,0.9
185,13,9,0.2,0.1,0.9
186,51,16,0.2,0.1,0.9
187,12,9,0.2,0.1,0.9
188,-28,26,0.2,0.1,0.9
189,-96,75,0.2,0.1,0.9
190,44,8,0.2,0.1,0.9
191,29,22,0.2,0.1,0.9
192,6,22,0.2,0.1,0.9
193,36,22,0.2,0.1,0.9
194,33,2,0.2,0.1,0.9
195,-179,110,0.2,0.1,0.9
196,-28,37,0.2,0.1,0.9
197,54,14,0.2,0.1,0.9
198,52,16,0.2,0.1,0.9
199,-4,26,0.2,0.1,0.9
200,-47,45,0.2,0.1,0.9
201,44,7,0.2,0.1,0.9
202,12,10,0.2,0.1,0.9
203,27,6,0.2,0.1,0.9
204,42,9,0.2,0.1,0.9
205,0,28,0.2,0.1,0.9
206,18,4,0.2,0.1,0.9
207,44,7,0.2,0.1,0.9
208,6,8,0.2,0.1,0.9
209,-206,108,0.2,0.1,0.9
210,-8,38,0.2,0.1,0.9
211,-80,69,0.2,0.1,0.9
212,2,24,0.2,0.1,0.9
213,14,3,0.2,0.1,0.9
214,15,2,0.2,0.1,0.9
215,-10,8,0.2,0.1,0.9
216,22,6,0.2,0.1,0.9
217,5,10,0.2,0.1,0.9
218,18,5,0.2,0.1,0.9
219,40,18,0.2,0.1,0.9
220,4,30,0.2,0.1,0.9
221,16,6,0.2,0.1,0.9
222,25,6,0.2,0.1,0.9
223,15,8,0.2,0.1,0.9
224,-7,29,0.2,0.1,0.9
225,-14,38,0.2,0.1,0.9
226,-125,94,0.2,0.1,0.9
227,54,14,0.2,0.1,0.9
228,-19,32,0.2,0.1,0.9
229,-8,22,0.2,0.1,0.9
230,26,6,0.2,0.1,0.9
231,8,23,0.2,0.1,0.9
232,9,6,0.2,0.1,0.9
233,24,7,0.2,0.1,0.9
234,23,15,0.2,0.1,0.9
235,37,13,0.2,0.1,0.9
236,-21,36,0.2,0.1,0.9
237,-24,34,0.2,0.1,0.9
238,42,10,0.2,0.1,0.9
239,28,5,0.2,0.1,0.9
240,42,9,0.2,0.1,0.9
241,-2,10,0.2,0.1,0.9
242,4,16,0.2,0.1,0.9
243,34,8,0.2,0.1,0.9
244,15,15,0.2,0.1,0.9
245,-33,43,0.2,0.1,0.9
246,25,23,0.2,0.1,0.9
247,12,15,0.2,0.1,0.9
248,-29,51,0.2,0.1,0.9
249,-18,12,0.2,0.1,0.9
250,41,9,0.2,0.1,0.9
251,-24,14,0.2,0.1,0.9
252,-5,16,0.2,0.1,0.9
253,1,10,0.2,0.1,0.9
254,-144,88,0.2,0.1,0.9
255,-17,18,0.2,0.1,0.9
256,-2,22,0.2,0.1,0.9
257,-4,11,0.2,0.1,0.9
258,-23,40,0.2,0.1,0.9
259,8,34,0.2,0.1,0.9
260,37,27,0.2,0.1,0.9
261,3,21,0.2,0.1,0.9
262,39,12,0.2,0.1,0.9
263,-129,60,0.2,0.1,0.9
264,30,10,0.2,0.1,0.9
265,-10,18,0.2,0.1,0.9
266,25,7,0.2,0.1,0.9
267,5,24,0.2,0.1,0.9
268,-4,32,0.2,0.1,0.9
269,34,24,0.2,0.1,0.9
270,25,7,0.2,0.1,0.9
271,15,24,0.2,0.1,0.9
272,-54,54,0.2,0.1,0.9
273,33,2,0.2,0.1,0.9
274,36,14,0.2,0.1,0.9
275,4,14,0.2,0.1,0.9
276,44,13,0.2,0.1,0.9
277,-14,10,0.2,0.1,0.9
278,14,3,0.2,0.1,0.9
279,39,19,0.2,0.1,0.9
280,2,26,0.2,0.1,0.9
281,31,3,0.2,0.1,0.9
282,5,12,0.2,0.1,0.9
283,47,14,0.2,0.1,0.9
284,20,10,0.2,0.1,0.9
285,19,5,0.2,0.1,0.9
286,36,18,0.2,0.1,0.9
287,19,27,0.2,0.1,0.9
288,41,23,0.2,0.1,0.9
289,-50,54,0.2,0.1,0.9
290,-164,97,0.2,0.1,0.9
291,28,5,0.2,0.1,0.9
292,27,6,0.2,0.1,0.9
293,1,15,0.2,0.1,0.9
294,39,11,0.2,0.1,0.9
295,30,4,0.2,0.1,0.9
296,31,4,0.2,0.1,0.9
297,6,22,0.2,0.1,0.9
298,24,7,0.2,0.1,0.9
299,-9,8,0.2,0.1,0.9
300,39,11,0.2,0.1,0.9
301,-184,105,0.2,0.1,0.9
302,29,4,0.2,0.1,0.9
303,-17,12,0.2,0.1,0.9
304,18,12,0.2,0.1,0.9
305,12,8,0.2,0.1,0.9
306,8,12,0.2,0.1,0.9
307,46,20,0.2,0.1,0.9
308,-52,49,0.2,0.1,0.9
309,4,8,0.2,0.1,0.9
310,-13,12,0.2,0.1,0.9
311,5,11,0.2,0.1,0.9
312,21,11,0.2,0.1,0.9
313,27,6,0.2,0.1,0.9
314,18,10,0.2,0.1,0.9
315,16,14,0.2,0.1,0.9
316,37,35,0.2,0.1,0.9
317,55,13,0.2,0.1,0.9
318,10,20,0.2,0.1,0.9
319,1,37,0.2,0.1,0.9
320,29,14,0.2,0.1,0.9
321,14,3,0.2,0.1,0.9
322,18,12,0.2,0.1,0.9
323,16,6,0.2,0.1,0.9
324,4,20,0.2,0.1,0.9
325,-10,29,0.2,0.1,0.9
326,0,6,0.2,0.1,0.9
327,5,6,0.2,0.1,0.9
328,-54,39,0.2,0.1,0.9
329,-21,30,0.2,0.1,0.9
330,52,16,0.2,0.1,0.9
331,-50,60,0.2,0.1,0.9
332,-7,31,0.2,0.1,0.9
333,-79,50,0.2,0.1,0.9
334,-13,43,0.2,0.1,0.9
335,41,9,0.2,0.1,0.9
336,-410,211,0.2,0.1,0.9
337,9,24,0.2,0.1,0.9
338,26,6,0.2,0.1,0.9
339,40,18,0.2,0.1,0.9
340,-21,21,0.2,0.1,0.9
341,30,4,0.2,0.1,0.9
342,12,4,0.2,0.1,0.9
343,-113,79,0.2,0.1,0.9
344,2,23,0.2,0.1,0.9
345,-59,53,0.2,0.1,0.9
346,-5,18,0.2,0.1,0.9
347,13,9,0.2,0.1,0.9
348,0,20,0.2,0.1,0.9
349,-16,15,0.2,0.1,0.9
350,21,10,0.2,0.1,0.9
351,53,15,0.2,0.1,0.9
352,28,5,0.2,0.1,0.9
353,28,15,0.2,0.1,0.9
354,31,23,0.2,0.1,0.9
355,48,18,0.2,0.1,0.9
356,0,6,0.2,0.1,0.9
357,-6,10,0.2,0.1,0.9
358,-112,66,0.2,0.1,0.9
359,44,8,0.2,0.1,0.9
360,28,16,0.2,0.1,0.9
361,33,2,0.2,0.1,0.9
362,-20,37,0.2,0.1,0.9
363,14,3,0.2,0.1,0.9
364,6,20,0.2,0.1,0.9
365,17,6,0.2,0.1,0.9
366,-48,42,0.2,0.1,0.9
367,-11,36,0.2,0.1,0.9
368,-68,36,0.2,0.1,0.9
369,-16,15,0.2,0.1,0.9
370,-217,120,0.2,0.1,0.9
371,-44,44,0.2,0.1,0.9
372,55,13,0.2,0.1,0.9
373,16,6,0.2,0.1,0.9
374,5,13,0.2,0.1,0.9
375,22,19,0.2,0.1,0.9
376,26,12,0.2,0.1,0.9
377,19,5,0.2,0.1,0.9
378,-258,119,0.2,0.1,0.9
379,-2,15,0.2,0.1,0.9
380,53,16,0.2,0.1,0.9
381,42,16,0.2,0.1,0.9
382,-10,36,0.2,0.1,0.9
383,31,10,0.2,0.1,0.9
384,42,10,0.2,0.1,0.9
385,29,33,0.2,0.1,0.9
386,1,11,0.2,0.1,0.9
387,27,5,0.2,0.1,0.9
388,19,6,0.2,0.1,0.9
389,9,20,0.2,0.1,0.9
390,7,12,0.2,0.1,0.9
391,28,5,0.2,0.1,0.9
392,30,4,0.2,0.1,0.9
393,32,16,0.2,0.1,0.9
394,-45,33,0.2,0.1,0.9
395,10,22,0.2,0.1,0.9
396,53,16,0.2,0.1,0.9
397,42,10,0.2,0.1,0.9
398,18,14,0.2,0.1,0.9
399,40,10,0.2,0.1,0.9
400,15,8,0.2,0.1,0.9
401,-282,149,0.2,0.1,0.9
402,-38,36,0.2,0.1,0.9
403,13,9,0.2,0.1,0.9
404,-3,14,0.2,0.1,0.9
405,23,9,0.2,0.1,0.9
406,31,3,0.2,0.1,0.9
407,29,9,0.2,0.1,0.9
408,32,8,0.2,0.1,0.9
409,-3,11,0.2,0.1,0.9
410,22,17,0.2,0.1,0.9
411,34,16,0.2,0.1,0.9
412,20,4,0.2,0.1,0.9
413,30,4,0.2,0.1,0.9
414,18,24,0.2,0.1,0.9
415,-23,42,0.2,0.1,0.9
416,41,9,0.2,0.1,0.9
417,0,12,0.2,0.1,0.9
418,27,7,0.2,0.1,0.9
419,-7,9,0.2,0.1,0.9
420,-120,66,0.2,0.1,0.9
421,12,10,0.2,0.1,0.9
422,27,6,0.2,0.1,0.9
423,31,3,0.2,0.1,0.9
424,-21,29,0.2,0.1,0.9
425,16,5,0.2,0.1,0.9
